2014,2013,2015,2012,2011,2009,2008,2010,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1996,1997,1994,1993,1995,1988,1989,1991,1992,1990,1987,1986,1985,1984,1981,1982,1983,1980,1978,1979,1977,1973,1971,1976,1966,1974,1975,1964,1972,1967,1970,1968,1965,1963,1962,1960,1969,1961
67,67,69,50,62,72,63,59,60,55,53,49,41,45,40,28,20,38,30,35,33,26,32,15,24,21,17,23,17,17,28,22,14,10,14,14,11,8,15,5,5,6,11,8,8,5,5,7,6,5,6,7,7,5,5,6
36,39,33,34,46,49,43,44,47,34,35,19,27,20,25,21,23,22,22,21,24,13,17,16,16,19,14,13,18,11,14,15,3,13,10,7,5,,9,1,2,2,2,3,4,4,1,3,3,5,,2,1,2,2,2
84,65,57,79,75,83,84,85,74,70,62,63,49,48,53,47,42,41,44,32,35,34,37,19,22,26,31,19,24,25,21,19,10,12,14,9,5,8,4,3,9,5,6,4,2,9,5,11,6,6,5,8,5,6,4,7
62,61,86,54,56,71,52,46,41,30,25,34,41,28,25,24,29,26,24,29,20,18,18,18,21,13,16,18,18,21,17,27,10,13,16,11,16,10,11,6,6,5,6,5,11,4,4,4,3,4,2,2,2,3,3,4
105,102,125,104,78,90,76,78,79,56,56,29,24,30,23,21,26,23,17,18,13,18,19,36,25,13,16,26,25,30,14,18,24,20,13,16,19,11,14,15,7,9,3,8,8,6,8,4,5,4,5,9,5,7,1,3
23,7,9,10,9,12,18,7,6,7,5,8,8,7,12,5,3,3,3,1,3,6,5,6,4,2,1,2,6,4,2,3,2,2,1,2,4,3,4,,4,2,4,1,2,3,,1,5,4,8,1,3,2,3,2
65,71,51,54,48,52,62,51,65,53,45,32,46,41,39,31,29,34,19,28,26,28,31,21,25,20,25,30,21,18,14,15,10,9,11,9,6,8,2,17,10,8,5,15,6,10,7,7,4,5,2,4,3,2,3,2
129,121,107,99,115,108,99,108,95,80,70,75,73,72,61,47,38,43,42,59,61,53,47,32,38,39,34,39,29,30,28,33,17,17,21,27,15,8,14,15,11,13,14,14,10,5,10,7,11,6,9,4,8,8,10,7
73,62,57,49,49,25,26,35,19,16,17,12,11,10,5,3,5,3,3,2,2,1,2,5,2,3,1,1,,,1,2,2,1,,,3,,1,1,,1,1,2,1,,1,1,3,,,,,,,
179,175,171,160,146,157,127,135,125,114,92,74,73,84,66,63,53,53,61,61,45,45,49,33,35,37,45,46,28,23,24,24,27,17,24,25,22,16,12,16,17,17,8,20,13,9,10,5,5,5,11,10,7,6,3,
15,14,15,13,8,16,24,14,13,12,10,7,9,8,12,4,7,7,5,7,3,8,7,4,4,1,4,4,3,3,1,5,5,2,1,5,2,3,4,2,3,2,2,1,3,3,,,3,3,4,4,4,5,3,3
284,253,260,232,214,224,233,211,197,197,182,141,110,130,100,101,113,108,104,83,83,90,93,54,54,63,65,60,52,51,40,40,32,33,35,32,29,30,24,31,30,22,16,21,17,20,16,16,19,20,20,13,21,13,13,16
36,42,39,40,46,48,33,50,32,39,26,23,29,21,18,27,13,16,8,10,8,6,7,7,5,3,4,4,4,7,2,1,3,6,3,,2,1,5,3,1,,3,1,1,2,1,2,2,3,1,1,,,3,1
14,10,20,14,10,8,5,8,6,8,3,6,3,3,10,1,6,3,2,1,5,,1,2,,,,1,2,,,1,1,1,1,1,3,,,1,1,1,,1,,,,,1,,1,,,,1,
36,38,42,33,38,51,29,32,34,30,29,27,19,28,22,14,24,18,13,21,10,15,14,9,8,9,10,14,7,7,3,4,10,10,5,9,7,4,5,7,6,7,6,5,8,4,4,3,3,4,3,6,4,,1,1
185,175,162,176,172,198,169,169,151,155,143,125,111,104,101,97,100,84,91,77,88,72,63,69,63,60,54,48,57,49,51,38,20,28,28,25,14,19,11,8,9,12,16,12,12,16,13,17,12,9,7,13,5,8,12,10
28,30,33,22,17,17,20,10,15,12,13,13,11,4,6,10,5,12,4,4,3,6,,8,3,7,6,2,4,6,2,11,3,6,5,4,3,4,3,1,1,3,,1,3,5,2,5,4,3,2,,1,1,2,2
43,48,44,42,72,60,56,55,45,65,57,40,44,39,31,34,29,34,31,33,35,29,33,17,17,21,16,12,16,13,12,9,5,8,4,4,6,5,8,4,2,3,7,4,2,4,2,3,3,5,3,3,2,3,4,5
6,3,6,4,3,,2,6,5,1,2,7,4,1,2,2,3,1,,,8,3,3,,1,2,2,3,1,1,3,,,2,1,5,1,4,1,4,5,3,7,2,3,1,5,2,8,1,4,2,3,6,7,3
,,,6,14,17,18,13,17,10,10,7,5,11,4,4,6,4,2,3,3,5,2,1,2,3,3,1,,,,,,2,1,2,1,,,,,1,2,,,1,,,1,,1,2,1,1,,1
