Year,Genre,    Number of Films
2014,Drama,284
2013,Drama,253
2015,Drama,260
2012,Drama,232
2011,Drama,214
2009,Drama,224
2008,Drama,233
2010,Drama,211
2007,Drama,197
2006,Drama,197
2005,Drama,182
2004,Drama,141
2003,Comedy,111
2002,Drama,130
2001,Comedy,101
2000,Drama,101
1999,Drama,113
1998,Drama,108
1996,Drama,104
1997,Drama,83
1994,Comedy,88
1993,Drama,90
1995,Drama,93
1988,Comedy,69
1989,Comedy,63
1991,Drama,63
1992,Drama,65
1990,Drama,60
1987,Comedy,57
1986,Drama,51
1985,Comedy,51
1984,Drama,40
1981,Drama,32
1982,Drama,33
1983,Drama,35
1980,Drama,32
1978,Drama,29
1979,Drama,30
1977,Drama,24
1973,Drama,31
1971,Drama,30
1976,Drama,22
1966,Drama,16
1974,Drama,21
1975,Drama,17
1964,Drama,20
1972,Drama,16
1967,Comedy,17
1970,Drama,19
1968,Drama,20
1965,Drama,20
1963,Drama,13
1962,Drama,21
1960,Drama,13
1969,Drama,13
1961,Drama,16
