Year,Genre,    Maximum Revenue
2014,Action,13153.230862
2013,Adventure,10428.853616
2015,Adventure,13626.662963
2012,Adventure,11461.878715
2011,Adventure,10553.179923
2009,Adventure,11486.079221
2008,Action,7738.696264
2010,Adventure,9467.113154
2007,Adventure,7381.004577
2006,Comedy,6288.949267
2005,Adventure,6389.107979
2004,Adventure,7088.008095
2003,Action,7605.629186
2002,Action,6504.729306
2001,Action,5096.411097
2000,Comedy,4572.263738
1999,Drama,4750.378901
1998,Drama,3777.407272
1996,Drama,3861.375401
1997,Thriller,5503.66055
1994,Drama,3328.500336
1993,Drama,3451.507785
1995,Drama,4910.036637
1988,Comedy,2182.213249
1989,Comedy,2600.116792
1991,Action,2046.3907119999997
1992,Comedy,2615.457237
1990,Drama,2271.653028
1987,Comedy,1944.423514
1986,Drama,1331.864189
1985,Drama,1425.518561
1984,Action,1551.12303
1981,Action,822.955064
1982,Adventure,1187.462277
1983,Action,1327.203156
1980,Action,1001.8482619999999
1978,Action,491.49625199999997
1979,Drama,875.285823
1977,Adventure,1231.507831
1973,Drama,873.189472
1971,Thriller,293.811475
1976,Drama,485.202043
1966,Drama,53.736689
1974,Thriller,450.732369
1975,Horror,583.546319
1964,Music,175.273276
1972,Crime,316.498408
1967,Adventure,413.473117
1970,Drama,475.496994
1968,Drama,167.822183
1965,Drama,286.936196
1963,Thriller,97.373353
1962,Adventure,179.6
1960,Drama,123.00000000000001
1969,Drama,161.343942
1961,Adventure,244.780014
